Month/Year,Value
1/1/40,73.8
2/1/40,72.7
3/1/40,72
4/1/40,73
5/1/40,72
6/1/40,70.7
7/1/40,70.7
8/1/40,69.8
9/1/40,70.5
10/1/40,71.4
11/1/40,72.6
12/1/40,73.6
1/1/41,74.6
2/1/41,74
3/1/41,75.3
4/1/41,77.5
5/1/41,79.7
6/1/41,83.6
7/1/41,86.1
8/1/41,87.6
9/1/41,90
10/1/41,89.7
11/1/41,90.2
12/1/41,92.3
1/1/42,96.1
2/1/42,97
3/1/42,98.2
4/1/42,100
5/1/42,99.7
6/1/42,99.8
7/1/42,100.1
8/1/42,101.2
9/1/42,102.2
10/1/42,103
11/1/42,103.9
12/1/42,106.1
1/1/43,108.2
2/1/43,109.6
3/1/43,112
4/1/43,112.8
5/1/43,114
6/1/43,114.3
7/1/43,113.6
8/1/43,112.7
9/1/43,112.4
10/1/43,111.9
11/1/43,111.3
12/1/43,112.1
1/1/44,112.2
2/1/44,112.8
3/1/44,113.4
4/1/44,113.2
5/1/44,113
6/1/44,114.2
7/1/44,113.6
8/1/44,112.7
9/1/44,112.8
10/1/44,113.2
11/1/44,113.8
12/1/44,114.6
1/1/45,115.1
2/1/45,115.6
3/1/45,115.7
4/1/45,116.8
5/1/45,117.7
6/1/45,118.2
7/1/45,117.5
8/1/45,116.3
9/1/45,114.8
10/1/45,116.6
11/1/45,118.9
12/1/45,119.2
1/1/46,118.3
2/1/46,118.9
3/1/46,120.5
4/1/46,122.2
5/1/46,123.6
6/1/46,126.3
7/1/46,141.7
8/1/46,145.7
9/1/46,141.4
10/1/46,148.7
11/1/46,153.4
12/1/46,153.2
1/1/47,152.3
2/1/47,154.9
3/1/47,163.1
4/1/47,160.1
5/1/47,158.4
6/1/47,160.2
7/1/47,165.3
8/1/47,167
9/1/47,170.9
10/1/47,175.2
11/1/47,175.5
12/1/47,182
1/1/48,183.9
2/1/48,174.9
3/1/48,174.7
4/1/48,175.5
5/1/48,177.6
6/1/48,182.6
7/1/48,184.3
8/1/48,182.3
9/1/48,181
10/1/48,177
11/1/48,175.2
12/1/48,172.2
1/1/49,169.6
2/1/49,166.1
3/1/49,167.5
4/1/49,166
5/1/49,166.1
6/1/49,164.5
7/1/49,163.2
8/1/49,161.3
9/1/49,162
10/1/49,160.4
11/1/49,160.4
12/1/49,159.5
1/1/50,159.8
2/1/50,162.4
3/1/50,162.8
4/1/50,162.5
5/1/50,166.3
6/1/50,167.7
7/1/50,175.8
8/1/50,179.1
9/1/50,181.8
10/1/50,180.2
11/1/50,184.5
12/1/50,187.1
1/1/51,192.6
2/1/51,199.1
3/1/51,199.4
4/1/51,197.7
5/1/51,195.5
6/1/51,194.7
7/1/51,189.9
8/1/51,187.5
9/1/51,187
10/1/51,188.9
11/1/51,189.6
12/1/51,188.8
