Month,LTOTL
12/19/19,6056.468
12/26/19,6157.006
1/2/20,6296.537
1/9/20,5926.556
1/16/20,6064.797
1/23/20,5964.038
1/30/20,5866.4
2/6/20,5831.446
2/13/20,6075.581
2/20/20,6067.836
2/27/20,6205.534
3/5/20,5957.517
3/12/20,5948.54
3/19/20,5944.827
3/26/20,5836.592
4/2/20,5929.189
4/9/20,5856.592
4/16/20,6024.03
4/23/20,5896.841
4/30/20,5838.708
5/7/20,5813.573
5/14/20,5972.844
5/21/20,5872.255
5/28/20,5900.22
6/4/20,5981.281
6/11/20,5925.565
6/18/20,5938.395
6/25/20,5860.087
7/2/20,5939.118
7/9/20,5918.993
7/16/20,5948.542
7/23/20,5815.371
7/30/20,5772.799
8/6/20,5823.884
8/13/20,5915.54
8/20/20,5919.716
8/27/20,5916.971
9/3/20,6005.213
9/10/20,6091.297
9/17/20,6251.55
9/24/20,6050.129
10/1/20,6065.614
10/8/20,6127.097
10/15/20,6347.911
10/22/20,6112.471
10/29/20,6079.109
11/5/20,6150.867
11/12/20,6092.999
11/19/20,6063.126
11/26/20,5980.724
12/3/20,6039.994
12/10/20,5969.119
12/17/20,6123.243
12/23/20,6053.832
12/30/20,6005.002
1/7/21,5884.564
1/14/21,5698.862
1/21/21,5644.981
1/28/21,5559.155
2/4/21,5544.789
2/11/21,5519.898
2/18/21,5553.245
2/25/21,5558.275
3/4/21,5537.7
3/11/21,5542.67
3/18/21,5533.175
3/25/21,5450.018
4/1/21,5369.263
4/8/21,5304.533
4/15/21,5349.214
4/22/21,5276.861
4/27/21,5201.209
5/4/21,5212.809
5/11/21,5191.882
5/18/21,5186.328
5/25/21,5075.551
6/1/21,5130.437
6/8/21,5103.284
6/15/21,5402.987
6/22/21,5011.615
6/29/21,4937.821
7/6/21,5015.609
7/13/21,4972.446
7/20/21,4900.633
7/27/21,4834.123
8/3/21,4837.138
8/10/21,4772.312
8/17/21,4813.65
8/24/21,4736.32
8/31/21,4738.949
9/7/21,4831.225
9/14/21,4923.779
9/21/21,4844.82
9/28/21,4790.253
10/5/21,4840.479
10/11/21,4863.438
10/19/21,4870.099
10/26/21,4778.084
11/2/21,4794.679
11/9/21,4784.924
11/16/21,4880.84
11/23/21,4741.052
11/30/21,4727.468
12/7/21,4700.464
12/14/21,4859.482
12/21/21,4894.193
12/28/21,4834.296
1/4/22,4857.691
1/11/22,4620.72
1/18/22,4579.672
1/25/22,4462.065
2/1/22,4533.324
2/8/22,4514.148
2/15/22,4620.822
2/21/22,4469.904
3/1/22,4545.038
3/8/22,4499.648
3/15/22,4728.676
3/22/22,4514.468
3/29/22,4496.46
4/5/22,4546.741
4/12/22,4582.779
4/19/22,4633.301
4/26/22,4540.363
5/3/22,4608.738
5/10/22,4574.808
5/17/22,4627.676
5/24/22,4574.266
5/31/22,4527.141
6/7/22,4583.211
6/14/22,4677.75
6/21/22,4571.331
6/28/22,4584.372
7/5/22,4597.828
7/12/22,4658.15
