Month/Year,Index
6/1/04,62.70184062
7/1/04,52.98298577
8/1/04,61.22607302
9/1/04,63.29700611
10/1/04,131.9171309
11/1/04,79.84567042
12/1/04,37.24450986
1/1/05,66.5608974
2/1/05,66.4522156
3/1/05,64.21262934
4/1/05,59.05549097
5/1/05,50.46590156
6/1/05,42.21767127
7/1/05,30.4697
8/1/05,42.78195206
9/1/05,50.15339636
10/1/05,49.16952589
11/1/05,51.7575518
12/1/05,38.59700296
1/1/06,54.01584102
2/1/06,45.97355057
3/1/06,42.4838282
4/1/06,60.01895537
5/1/06,44.25902623
6/1/06,35.98867889
7/1/06,37.95607106
8/1/06,35.10652123
9/1/06,23.05206476
10/1/06,39.11098546
11/1/06,44.04417659
12/1/06,38.44352871
1/1/07,52.47217446
2/1/07,35.01183356
3/1/07,39.43218961
4/1/07,35.61989784
5/1/07,52.97252077
6/1/07,44.28305238
7/1/07,28.49591827
8/1/07,43.12329964
9/1/07,38.86300473
10/1/07,42.17807398
11/1/07,37.92471476
12/1/07,75.98911539
1/1/08,189.8703773
2/1/08,114.5269699
3/1/08,94.10751657
4/1/08,75.38602717
5/1/08,87.25166955
6/1/08,75.84423624
7/1/08,83.42812303
8/1/08,81.62045162
9/1/08,110.2869053
10/1/08,243.7280516
11/1/08,186.9914637
12/1/08,142.4529347
1/1/09,214.7670311
2/1/09,280.1123696
3/1/09,185.8047545
4/1/09,119.3916576
5/1/09,101.9246828
6/1/09,107.1718998
7/1/09,121.0251355
8/1/09,70.91820288
9/1/09,74.99486528
10/1/09,82.66067952
11/1/09,99.65551906
12/1/09,127.9364768
1/1/10,166.646371
2/1/10,154.9146622
3/1/10,108.5558791
4/1/10,89.35697002
5/1/10,110.2068139
6/1/10,143.6194281
7/1/10,185.6708357
8/1/10,191.3336778
9/1/10,258.3348742
10/1/10,332.493007
11/1/10,228.1788187
12/1/10,206.7215544
1/1/11,166.6075222
2/1/11,118.0621849
3/1/11,134.3887436
4/1/11,138.7366949
5/1/11,109.3923868
6/1/11,138.4162359
7/1/11,285.8952805
8/1/11,322.0823056
9/1/11,276.2620443
10/1/11,130.4084038
11/1/11,149.9675699
12/1/11,210.2094224
1/1/12,180.0323519
2/1/12,120.1615117
3/1/12,87.92420879
4/1/12,94.93068374
5/1/12,139.3484609
6/1/12,191.3475238
7/1/12,218.7703526
8/1/12,188.9816261
9/1/12,201.772549
10/1/12,266.0443056
11/1/12,372.0898434
12/1/12,374.3071494
1/1/13,320.7264732
2/1/13,203.9597973
3/1/13,187.6465911
4/1/13,90.06354124
5/1/13,76.21527347
6/1/13,79.96822391
7/1/13,78.13582097
8/1/13,85.88088713
9/1/13,119.3175839
10/1/13,268.6196513
11/1/13,76.77225804
12/1/13,100.146582
1/1/14,110.1885923
2/1/14,82.55332493
3/1/14,63.41956436
4/1/14,57.50331656
5/1/14,62.75958386
6/1/14,60.58691586
7/1/14,68.22263992
8/1/14,43.34967015
9/1/14,50.09061989
10/1/14,67.91616276
11/1/14,68.39020385
12/1/14,67.70636952
1/1/15,86.93115905
2/1/15,55.68403862
3/1/15,66.8351951
4/1/15,42.88079298
5/1/15,64.94575255
6/1/15,65.418659
7/1/15,61.78919649
8/1/15,53.29732136
9/1/15,41.32708985
10/1/15,52.54172967
11/1/15,41.14262306
12/1/15,50.99778966
1/1/16,68.61171286
2/1/16,68.26779053
3/1/16,61.90756345
4/1/16,41.96526184
5/1/16,53.4877288
6/1/16,67.83637967
7/1/16,67.38028847
8/1/16,68.25003033
9/1/16,41.25854533
10/1/16,74.63824799
11/1/16,141.4441789
12/1/16,160.9049265
1/1/17,167.8719814
